side,index,x_center,nominal_wl_nm,peak_wl_nm,nominal_bw_nm,fwhm_nm,total_power_w,in_band_fraction,neighbor_leakage,xtalk_-2,xtalk_-1,xtalk_+1,xtalk_+2
x,0,998,778.05876,778.00300,0.08439,0.08227,1.181782e-09,0.34773,0.31117,0.00307,0.30420,0.00696,0.00145
x,1,978,778.17128,778.11500,0.08439,0.08285,1.163219e-09,0.33344,0.30891,0.00302,0.30173,0.00717,0.00142
x,2,958,778.28380,778.23000,0.08439,0.08096,1.030504e-09,0.34115,0.31329,0.00338,0.30671,0.00658,0.00196
x,3,938,778.39632,778.34400,0.08439,0.08197,8.297068e-10,0.33836,0.30119,0.00367,0.29376,0.00743,0.00255
x,4,918,778.50885,778.45500,0.08439,0.08452,7.267175e-10,0.36301,0.30166,0.00435,0.29287,0.00879,0.00228
x,5,898,778.62137,778.56700,0.08439,0.08481,7.260523e-10,0.36551,0.29936,0.00394,0.29000,0.00936,0.00259
x,6,878,778.73389,778.68200,0.08439,0.08587,7.430095e-10,0.38907,0.27990,0.00338,0.27076,0.00914,0.00230
x,7,858,778.84641,778.79400,0.08439,0.08557,8.078580e-10,0.37108,0.29638,0.00316,0.28751,0.00887,0.00226
x,8,838,778.95894,778.90300,0.08439,0.08918,7.760984e-10,0.37761,0.29928,0.00305,0.29070,0.00857,0.00198
x,9,818,779.07146,779.02200,0.08439,0.08653,6.525707e-10,0.37517,0.29268,0.00381,0.28029,0.01239,0.00275
x,10,798,779.18398,779.13000,0.08439,0.08867,6.170486e-10,0.39992,0.27357,0.00424,0.26313,0.01044,0.00332
x,11,778,779.29650,779.24500,0.08439,0.08688,5.032324e-10,0.39868,0.26861,0.00514,0.25564,0.01297,0.00395
x,12,758,779.40903,779.36300,0.08439,0.08754,4.549343e-10,0.42464,0.24473,0.00460,0.23170,0.01303,0.00439
x,13,738,779.52155,779.47600,0.08439,0.08671,4.655009e-10,0.42523,0.24293,0.00454,0.23041,0.01251,0.00455
