wavelength_m,power_dBm
7.74008e-07,-36.7391011
7.74016e-07,-36.6955543
7.74024e-07,-36.6581251
7.74032e-07,-36.6573348
7.7404e-07,-36.6315594
7.74048e-07,-36.5547869
7.74056e-07,-36.4968595
7.74064e-07,-36.4078679
7.74072e-07,-36.4105877
7.7408e-07,-36.4083222
7.74088e-07,-36.3896419
7.74096e-07,-36.3538989
7.74104e-07,-36.3039284
7.74112e-07,-36.2860659
7.7412e-07,-36.2803901
7.74128e-07,-36.2706816
7.74136e-07,-36.2103082
7.74144e-07,-36.1828747
7.74152e-07,-36.180177
7.7416e-07,-36.1739681
7.74168e-07,-36.1698194
7.74176e-07,-36.0841422
7.74184e-07,-36.0243013
7.74192e-07,-35.9395982
7.742e-07,-35.8795973
7.74208e-07,-35.8231916
7.74216e-07,-35.7550349
7.74224e-07,-35.6708938
7.74232e-07,-35.5901629
7.7424e-07,-35.5568282
7.74248e-07,-35.5650926
7.74256e-07,-35.5379459
7.74264e-07,-35.4819648
7.74272e-07,-35.4542528
7.7428e-07,-35.4172423
7.74288e-07,-35.4279421
7.74296e-07,-35.4370714
7.74304e-07,-35.403942
7.74312e-07,-35.3765985
7.7432e-07,-35.3487801
7.74328e-07,-35.3684428
7.74336e-07,-35.3941231
7.74344e-07,-35.3598674
7.74352e-07,-35.3314416
7.7436e-07,-35.3021234
7.74368e-07,-35.3116748
7.74376e-07,-35.3228916
7.74384e-07,-35.3186056
7.74392e-07,-35.2572395
7.744e-07,-35.2213161
7.74408e-07,-35.1832631
7.74416e-07,-35.182877
7.74424e-07,-35.177837
7.74432e-07,-35.102379
7.7444e-07,-35.0494045
7.74448e-07,-35.0083646
7.74456e-07,-35.007517
7.74464e-07,-34.9803741
7.74472e-07,-34.9397555
7.7448e-07,-34.8627188
7.74488e-07,-34.804669
7.74496e-07,-34.7937147
7.74504e-07,-34.7975846
7.74512e-07,-34.7972089
7.7452e-07,-34.7487446
7.74528e-07,-34.7315739
7.74536e-07,-34.7522502
7.74544e-07,-34.793399
7.74552e-07,-34.835989
7.7456e-07,-34.8175936
7.74568e-07,-34.8108226
7.74576e-07,-34.7851473
7.74584e-07,-34.7965603
7.74592e-07,-34.8100657
7.746e-07,-34.7802782
7.74608e-07,-34.7353138
7.74616e-07,-34.7094488
7.74624e-07,-34.7199035
7.74632e-07,-34.7542071
7.7464e-07,-34.7646888
7.74648e-07,-34.7343381
7.74656e-07,-34.6973719
7.74664e-07,-34.6539741
7.74672e-07,-34.6321958
7.7468e-07,-34.5932229
7.74688e-07,-34.5088875
7.74696e-07,-34.4421448
7.74704e-07,-34.3910099
7.74712e-07,-34.3889478
7.7472e-07,-34.3988066
7.74728e-07,-34.3948758
7.74736e-07,-34.3753834
7.74744e-07,-34.3682225
7.74752e-07,-34.3651685
7.7476e-07,-34.3688965
7.74768e-07,-34.3432621
7.74776e-07,-34.2782909
7.74784e-07,-34.2231795
7.74792e-07,-34.1938016
7.748e-07,-34.1932117
7.74808e-07,-34.1853814
7.74816e-07,-34.1419999
7.74824e-07,-34.1018816
7.74832e-07,-34.0801862
7.7484e-07,-34.0916909
7.74848e-07,-34.0677347
7.74856e-07,-34.0118546
7.74864e-07,-33.938372
7.74872e-07,-33.8359931
7.7488e-07,-33.7637346
7.74888e-07,-33.7032107
7.74896e-07,-33.6107886
7.74904e-07,-33.5010524
7.74912e-07,-33.4220411
7.7492e-07,-33.3690293
7.74928e-07,-33.3529605
7.74936e-07,-33.3394055
7.74944e-07,-33.297111
7.74952e-07,-33.2418163
7.7496e-07,-33.2002191
7.74968e-07,-33.1871617
7.74976e-07,-33.1912789
7.74984e-07,-33.1647113
7.74992e-07,-33.1395471
7.75e-07,-33.1103311
7.75008e-07,-33.1145092
