wavelength_m,power_dBm
7.74008e-07,-65.5720506
7.74016e-07,-62.8257085
7.74024e-07,-65.4700142
7.74032e-07,-69.0711895
7.7404e-07,-64.322268
7.74048e-07,-65.622484
7.74056e-07,-67.2855327
7.74064e-07,-67.2105538
7.74072e-07,-63.8224065
7.7408e-07,-66.4333265
7.74088e-07,-66.9679707
7.74096e-07,-66.885905
7.74104e-07,-65.2558642
7.74112e-07,-64.1851445
7.7412e-07,-64.2719392
7.74128e-07,-64.2502787
7.74136e-07,-66.5609818
7.74144e-07,-65.9134192
7.74152e-07,-65.6311785
7.7416e-07,-63.88798
7.74168e-07,-65.0447982
7.74176e-07,-65.5868068
7.74184e-07,-65.9959721
7.74192e-07,-66.0635304
7.742e-07,-66.9109408
7.74208e-07,-64.2942849
7.74216e-07,-65.8128765
7.74224e-07,-75.2943068
7.74232e-07,-66.3526386
7.7424e-07,-66.0361883
7.74248e-07,-64.4924504
7.74256e-07,-64.7916948
7.74264e-07,-63.929617
7.74272e-07,-62.3275191
7.7428e-07,-64.4348755
7.74288e-07,-65.7289105
7.74296e-07,-63.8694841
7.74304e-07,-64.5416245
7.74312e-07,-65.7015948
7.7432e-07,-63.786084
7.74328e-07,-63.9493755
7.74336e-07,-63.3476467
7.74344e-07,-65.7013659
7.74352e-07,-62.3667635
7.7436e-07,-63.0197247
7.74368e-07,-63.2419593
7.74376e-07,-63.1804864
7.74384e-07,-62.3172311
7.74392e-07,-64.4778328
7.744e-07,-62.5703583
7.74408e-07,-63.3814129
7.74416e-07,-61.2719033
7.74424e-07,-64.9813068
7.74432e-07,-62.8732759
7.7444e-07,-63.0962958
7.74448e-07,-63.9106259
7.74456e-07,-65.0534923
7.74464e-07,-65.0987781
7.74472e-07,-63.5546366
7.7448e-07,-64.6707703
7.74488e-07,-64.5666487
7.74496e-07,-63.14388
7.74504e-07,-62.9612229
7.74512e-07,-68.0803071
7.7452e-07,-63.8773258
7.74528e-07,-62.8967946
7.74536e-07,-63.5969499
7.74544e-07,-65.1509572
7.74552e-07,-66.2532642
7.7456e-07,-67.1525368
7.74568e-07,-66.5969606
7.74576e-07,-65.2043569
7.74584e-07,-65.6585871
7.74592e-07,-63.7127187
7.746e-07,-65.4320194
7.74608e-07,-65.4593881
7.74616e-07,-65.4994155
7.74624e-07,-66.3236167
7.74632e-07,-65.2947243
7.7464e-07,-62.8476417
7.74648e-07,-65.8383704
7.74656e-07,-66.15662
7.74664e-07,-64.4212309
7.74672e-07,-65.0068043
7.7468e-07,-64.2235343
7.74688e-07,-64.8027578
7.74696e-07,-64.2517051
7.74704e-07,-65.2392037
7.74712e-07,-66.472521
7.7472e-07,-67.4422644
7.74728e-07,-66.6678659
7.74736e-07,-64.0697968
7.74744e-07,-64.6624384
7.74752e-07,-62.5365041
7.7476e-07,-63.5278577
7.74768e-07,-65.7514465
7.74776e-07,-64.3632443
7.74784e-07,-64.4767043
7.74792e-07,-62.9213002
7.748e-07,-64.9183658
7.74808e-07,-65.6758473
7.74816e-07,-63.8073557
7.74824e-07,-66.3074604
7.74832e-07,-65.5496549
7.7484e-07,-67.3304688
7.74848e-07,-68.8061037
7.74856e-07,-66.2563998
7.74864e-07,-64.5464065
7.74872e-07,-67.5103969
7.7488e-07,-63.117261
7.74888e-07,-61.8936305
7.74896e-07,-62.868052
7.74904e-07,-66.3038714
7.74912e-07,-64.4669953
7.7492e-07,-62.4828565
7.74928e-07,-63.3134176
7.74936e-07,-65.9661181
7.74944e-07,-62.1207017
7.74952e-07,-61.7746193
7.7496e-07,-63.1278693
7.74968e-07,-63.7392347
7.74976e-07,-62.7768032
7.74984e-07,-61.7958832
7.74992e-07,-61.7237004
7.75e-07,-63.0561945
7.75008e-07,-63.1589677
7.75016e-07,-62.3538862
7.75024e-07,-62.4477108
7.75032e-07,-62.83868
7.7504e-07,-62.2381999
7.75048e-07,-62.2043236
7.75056e-07,-62.9222196
7.75064e-07,-62.1659026
7.75072e-07,-62.9875742
7.7508e-07,-62.8814686
7.75088e-07,-61.8995852
7.75096e-07,-63.3689439
7.75104e-07,-62.6632484
7.75112e-07,-62.8728163
7.7512e-07,-63.2014275
7.75128e-07,-62.2623914
7.75136e-07,-62.9093428
7.75144e-07,-63.4164046
7.75152e-07,-63.745837
7.7516e-07,-63.6264542
7.75168e-07,-62.1317889
7.75176e-07,-64.1056929
7.75184e-07,-62.2697281
7.75192e-07,-63.7639679
7.752e-07,-63.8598589
7.75208e-07,-64.1853699
7.75216e-07,-63.7985083
7.75224e-07,-61.882831
7.75232e-07,-65.1344962
7.7524e-07,-63.4711983
7.75248e-07,-61.4836108
7.75256e-07,-62.547202
7.75264e-07,-61.3759189
7.75272e-07,-63.4755066
7.7528e-07,-64.5816774
7.75288e-07,-62.9177001
7.75296e-07,-62.9567767
7.75304e-07,-63.5278484
7.75312e-07,-63.9866738
7.7532e-07,-62.9063785
7.75328e-07,-62.1728651
7.75336e-07,-62.5646333
