trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v
0,3,0,0,0,0.000308061905,0.000231001654
0,3,0,0.3,0,0.000525260987,0.00029602103
0,3,0,0.44,0,0.000769995976,0.00030387296
0,3,0,0.58,0,0.000870392651,0.000261864034
0,3,0,0.72,0,0.00117682609,0.000275376176
0,3,0,0.86,0,0.00127706193,0.000304272881
0,3,0,1,0,0.00150526253,0.000237215485
0,3,0.3,0,0,0.000614366653,0.000263177322
0,3,0.3,0.3,0.09,0.000991859443,0.000270718729
0,3,0.3,0.44,0.132,0.00126413035,0.000270119714
0,3,0.3,0.58,0.174,0.00143320596,0.00028807996
0,3,0.3,0.72,0.216,0.00163335597,0.000317313469
0,3,0.3,0.86,0.258,0.00172857358,0.000259318307
0,3,0.3,1,0.3,0.00190881154,0.000255267352
0,3,0.44,0,0,0.00076237213,0.000205586105
0,3,0.44,0.3,0.132,0.00104487249,0.000267098839
0,3,0.44,0.44,0.1936,0.00129156975,0.00025027056
0,3,0.44,0.58,0.2552,0.0014630258,0.000272221848
0,3,0.44,0.72,0.3168,0.00178017124,0.000330565921
0,3,0.44,0.86,0.3784,0.00183633677,0.000286924084
0,3,0.44,1,0.44,0.00215151998,0.00027235914
0,3,0.58,0,0,0.000872387074,0.000269180797
0,3,0.58,0.3,0.174,0.00124418612,0.00025041428
0,3,0.58,0.44,0.2552,0.00143713047,0.000280647024
0,3,0.58,0.58,0.3364,0.0017570102,0.000319307736
0,3,0.58,0.72,0.4176,0.00197951706,0.000263983916
0,3,0.58,0.86,0.4988,0.00205327855,0.000350746701
0,3,0.58,1,0.58,0.00228408479,0.000341919244
0,3,0.72,0,0,0.00100073784,0.000335280605
0,3,0.72,0.3,0.216,0.00137591454,0.000254432925
0,3,0.72,0.44,0.3168,0.00164529034,0.00028278649
0,3,0.72,0.58,0.4176,0.00196800087,0.000283361426
0,3,0.72,0.72,0.5184,0.00231776481,0.000278254933
0,3,0.72,0.86,0.6192,0.00223631514,0.000330989454
0,3,0.72,1,0.72,0.00246406541,0.000276645379
0,3,0.86,0,0,0.00124872182,0.00028282437
0,3,0.86,0.3,0.258,0.00152893826,0.000282086345
0,3,0.86,0.44,0.3784,0.00180754631,0.000343727224
0,3,0.86,0.58,0.4988,0.00209564396,0.000308012729
0,3,0.86,0.72,0.6192,0.00236366871,0.000297524612
0,3,0.86,0.86,0.7396,0.0024845565,0.000271870158
0,3,0.86,1,0.86,0.00265321395,0.000274927581
0,3,1,0,0,0.00131559933,0.000324609158
0,3,1,0.3,0.3,0.00181044144,0.000328964045
0,3,1,0.44,0.44,0.00195995884,0.000317147238
0,3,1,0.58,0.58,0.00228964987,0.000286302061
0,3,1,0.72,0.72,0.0025442927,0.000282220675
0,3,1,0.86,0.86,0.00261474088,0.00033062617
0,3,1,1,1,0.00292783319,0.000348678957
1,3,0,0,0,0.000310249337,0.000232315627
1,3,0,0.3,0,0.000523877756,0.000241223509
1,3,0,0.44,0,0.000824006235,0.000310064053
1,3,0,0.58,0,0.00100672111,0.000357870072
1,3,0,0.72,0,0.00117505684,0.000261989426
1,3,0,0.86,0,0.00128220883,0.000308272395
1,3,0,1,0,0.00148042875,0.000277061682
1,3,0.3,0,0,0.000569845986,0.000211392755
1,3,0.3,0.3,0.09,0.000978509676,0.000285894955
1,3,0.3,0.44,0.132,0.00129009002,0.000220306019
1,3,0.3,0.58,0.174,0.00139846439,0.000306628749
1,3,0.3,0.72,0.216,0.0016245419,0.00030414129
1,3,0.3,0.86,0.258,0.0018345997,0.000304853491
1,3,0.3,1,0.3,0.00194216988,0.000326791492
1,3,0.44,0,0,0.000717240271,0.000228729565
1,3,0.44,0.3,0.132,0.00105783624,0.000288500195
1,3,0.44,0.44,0.1936,0.00129919359,0.000304453608
1,3,0.44,0.58,0.2552,0.00164873232,0.000281312879
1,3,0.44,0.72,0.3168,0.00171911616,0.00027361304
1,3,0.44,0.86,0.3784,0.00188873863,0.000314542034
1,3,0.44,1,0.44,0.00197211839,0.000326938382
1,3,0.58,0,0,0.000910055933,0.00025921406
1,3,0.58,0.3,0.174,0.0011784345,0.000290266943
1,3,0.58,0.44,0.2552,0.00149776736,0.000292261925
1,3,0.58,0.58,0.3364,0.00187239723,0.000326040485
1,3,0.58,0.72,0.4176,0.00206151359,0.000323053745
1,3,0.58,0.86,0.4988,0.00210194891,0.000312645195
1,3,0.58,1,0.58,0.00222113178,0.000299928039
1,3,0.72,0,0,0.00111300455,0.000222616739
1,3,0.72,0.3,0.216,0.00140226023,0.000302136865
1,3,0.72,0.44,0.3168,0.00168649769,0.000265331215
1,3,0.72,0.58,0.4176,0.00205295687,0.000256609653
1,3,0.72,0.72,0.5184,0.00213662614,0.000285936156
1,3,0.72,0.86,0.6192,0.00235376093,0.000273628889
1,3,0.72,1,0.72,0.00263934949,0.000278468633
1,3,0.86,0,0,0.00126001283,0.000316980979
1,3,0.86,0.3,0.258,0.00155126294,0.000321171962
1,3,0.86,0.44,0.3784,0.00180790016,0.0003046879
1,3,0.86,0.58,0.4988,0.002118805,0.000317369701
1,3,0.86,0.72,0.6192,0.00237331915,0.000279424818
1,3,0.86,0.86,0.7396,0.00243556446,0.000290288238
1,3,0.86,1,0.86,0.00259466797,0.000296558801
1,3,1,0,0,0.00118168348,0.000268634483
1,3,1,0.3,0.3,0.00169267397,0.000263889551
1,3,1,0.44,0.44,0.00192084241,0.00027372298
1,3,1,0.58,0.58,0.00228517851,0.000322159822
1,3,1,0.72,0.72,0.00255365362,0.000304725076
1,3,1,0.86,0.86,0.00264369219,0.000356066809
1,3,1,1,1,0.00276071981,0.000348682746
2,3,0,0,0,0.000225775881,0.000232391675
2,3,0,0.3,0,0.000504866403,0.000238082657
2,3,0,0.44,0,0.000670982528,0.0002592061
2,3,0,0.58,0,0.000977448131,0.000351076005
2,3,0,0.72,0,0.00114600904,0.000306616961
2,3,0,0.86,0,0.00122253698,0.000244347471
2,3,0,1,0,0.00146132089,0.000229522402
2,3,0.3,0,0,0.000626912217,0.00028600112
2,3,0.3,0.3,0.09,0.000901724393,0.000284524948
2,3,0.3,0.44,0.132,0.00117219388,0.000297399801
2,3,0.3,0.58,0.174,0.00134178418,0.000280072462
2,3,0.3,0.72,0.216,0.00165619533,0.000309969796
2,3,0.3,0.86,0.258,0.00173571491,0.000352579726
2,3,0.3,1,0.3,0.00182932412,0.000315067532
2,3,0.44,0,0,0.000643832642,0.000246364933
2,3,0.44,0.3,0.132,0.00103255211,0.000288948898
2,3,0.44,0.44,0.1936,0.00131765809,0.000317059584
2,3,0.44,0.58,0.2552,0.0015942717,0.000264433791
2,3,0.44,0.72,0.3168,0.00175929413,0.0002586158
2,3,0.44,0.86,0.3784,0.00183788084,0.000305202049
2,3,0.44,1,0.44,0.0021099266,0.000322713822
2,3,0.58,0,0,0.000837806354,0.000263874182
2,3,0.58,0.3,0.174,0.00123530772,0.000253656912
2,3,0.58,0.44,0.2552,0.0014816833,0.000262642508
2,3,0.58,0.58,0.3364,0.00182092824,0.000256602985
2,3,0.58,0.72,0.4176,0.00192930263,0.000276019868
2,3,0.58,0.86,0.4988,0.00209667334,0.000329240276
2,3,0.58,1,0.58,0.00232789777,0.000284674897
2,3,0.72,0,0,0.00109103373,0.000297995472
2,3,0.72,0.3,0.216,0.00146743283,0.000280652843
2,3,0.72,0.44,0.3168,0.0016696416,0.000324728786
2,3,0.72,0.58,0.4176,0.00209059357,0.000338412484
2,3,0.72,0.72,0.5184,0.0021090259,0.00031203248
2,3,0.72,0.86,0.6192,0.00231651025,0.000313090246
2,3,0.72,1,0.72,0.00247831589,0.000335940414
2,3,0.86,0,0,0.001219288,0.000290289723
2,3,0.86,0.3,0.258,0.00167150735,0.000310159125
2,3,0.86,0.44,0.3784,0.00178840628,0.000267247741
2,3,0.86,0.58,0.4988,0.00228302324,0.00034158126
2,3,0.86,0.72,0.6192,0.00234485036,0.000295999926
2,3,0.86,0.86,0.7396,0.00255709561,0.000356741394
2,3,0.86,1,0.86,0.00262599972,0.000348146169
2,3,1,0,0,0.00128497529,0.000249977502
2,3,1,0.3,0.3,0.00170541254,0.000336519542
2,3,1,0.44,0.44,0.00210384683,0.000269800928
2,3,1,0.58,0.58,0.00235598053,0.00029121235
2,3,1,0.72,0.72,0.00244013233,0.000303787468
2,3,1,0.86,0.86,0.00279063615,0.000274475855
2,3,1,1,1,0.00299773451,0.000284242701
3,3,0,0,0,0.000261546819,0.000234487371
3,3,0,0.3,0,0.000549547909,0.000259388926
3,3,0,0.44,0,0.000743553788,0.000285841902
3,3,0,0.58,0,0.0009694061,0.000255791924
3,3,0,0.72,0,0.00107134685,0.000309443695
3,3,0,0.86,0,0.0012940467,0.000273405722
3,3,0,1,0,0.00150825417,0.000267667203
3,3,0.3,0,0,0.000670274829,0.000261159775
3,3,0.3,0.3,0.09,0.000940486968,0.000290289259
