trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio
0,3,1,36.87,36.87,0.1,0.1,1,1,-0.00245404877,-0.00770808912,0.00192116751,0.000175377797,0.0227524
0,3,1,53.13,53.13,0.2,0.2,1,1,-0.00245404877,-0.00868997969,0.0023433426,0.000213916933,0.0246165
0,3,1,66.42,66.42,0.3,0.3,1,1,-0.00245404877,-0.00927370337,0.00219515537,0.000200389353,0.0216083
0,3,1,78.46,78.46,0.4,0.4,1,1,-0.00245404877,-0.0102785189,0.00229294004,0.000209315831,0.0203644
0,3,1,90,90,0.5,0.5,1,1,-0.00245404877,-0.0116263276,0.00230459332,0.000210379625,0.0180951
0,3,1,101.5,101.5,0.6,0.6,1,1,-0.00245404877,-0.0124289996,0.00259733926,0.00023710355,0.0190766
0,3,1,113.6,113.6,0.7,0.7,1,1,-0.00245404877,-0.0154275895,0.00243624048,0.000222397311,0.0144156
0,3,1,126.9,126.9,0.8,0.8,1,1,-0.00245404877,-0.0153869522,0.00261233357,0.000238472337,0.0154983
0,3,1,143.1,143.1,0.9,0.9,1,1,-0.00245404877,-0.0159912604,0.00278611114,0.000254335986,0.0159047
0,3,1,180,180,1,1,1,1,-0.00245404877,-0.01687025,0.00338219138,0.000308750419,0.0183015
0,4,1,36.87,36.87,0.1,0.1,1,1,-0.00258396281,-0.00715703815,0.00190681139,0.000174067268,0.0243211
0,4,1,53.13,53.13,0.2,0.2,1,1,-0.00258396281,-0.00768612432,0.0017104051,0.000156137909,0.0203143
0,4,1,66.42,66.42,0.3,0.3,1,1,-0.00258396281,-0.00812612684,0.00223369926,0.000203907912,0.0250929
0,4,1,78.46,78.46,0.4,0.4,1,1,-0.00258396281,-0.0082711427,0.00176535063,0.000161153727,0.0194839
0,4,1,90,90,0.5,0.5,1,1,-0.00258396281,-0.00894352476,0.00237598146,0.000216896441,0.0242518
0,4,1,101.5,101.5,0.6,0.6,1,1,-0.00258396281,-0.00959716283,0.00198327694,0.000181047586,0.0188647
0,4,1,113.6,113.6,0.7,0.7,1,1,-0.00258396281,-0.010993098,0.00211000344,0.00019261608,0.0175215
0,4,1,126.9,126.9,0.8,0.8,1,1,-0.00258396281,-0.0114174339,0.00228729341,0.000208800366,0.0182879
0,4,1,143.1,143.1,0.9,0.9,1,1,-0.00258396281,-0.0115918932,0.00227596039,0.000207765808,0.0179234
0,4,1,180,180,1,1,1,1,-0.00258396281,-0.01207311,0.00227257379,0.000207456655,0.0171834
0,5,1,36.87,36.87,0.1,0.1,1,1,-0.00268424294,-0.00702761664,0.00190091003,0.000173528551,0.0246924
0,5,1,53.13,53.13,0.2,0.2,1,1,-0.00268424294,-0.00740551255,0.00199190232,0.000181834972,0.024554
0,5,1,66.42,66.42,0.3,0.3,1,1,-0.00268424294,-0.00754625365,0.00230049114,0.000210005149,0.0278291
0,5,1,78.46,78.46,0.4,0.4,1,1,-0.00268424294,-0.00803869769,0.00167265678,0.000152691975,0.0189946
0,5,1,90,90,0.5,0.5,1,1,-0.00268424294,-0.00791262116,0.00194655621,0.000177695458,0.0224572
0,5,1,101.5,101.5,0.6,0.6,1,1,-0.00268424294,-0.00858141788,0.00263725803,0.000240747619,0.0280545
0,5,1,113.6,113.6,0.7,0.7,1,1,-0.00268424294,-0.0088134121,0.00195118133,0.000178117671,0.0202098
0,5,1,126.9,126.9,0.8,0.8,1,1,-0.00268424294,-0.0102536187,0.00213144198,0.000194573142,0.018976
0,5,1,143.1,143.1,0.9,0.9,1,1,-0.00268424294,-0.0112798129,0.00204296069,0.000186495942,0.0165336
0,5,1,180,180,1,1,1,1,-0.00268424294,-0.0129246195,0.00247788341,0.000226198773,0.0175014
