trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v
0,1,0,0,0,0,0,1,1,0.000196342063,0.0026453971,0.000321883361
0,1,0,12.86,12.86,0.012536,0.012536,1,1,0.000196342063,0.00309150459,0.000325888789
0,1,0,25.71,25.71,0.0495156,0.0495156,1,1,0.000196342063,0.0034203593,0.000402342479
0,1,0,38.57,38.57,0.109084,0.109084,1,1,0.000196342063,0.00393318353,0.000372575093
0,1,0,51.43,51.43,0.188255,0.188255,1,1,0.000196342063,0.0100671133,0.0096816007
0,1,0,64.29,64.29,0.283058,0.283058,1,1,0.000196342063,0.00610141202,0.000359341851
0,1,0,77.14,77.14,0.38874,0.38874,1,1,0.000196342063,0.00721166317,0.000441614983
0,1,0,90,90,0.5,0.5,1,1,0.000196342063,0.00869188042,0.000477076963
0,1,0,102.9,102.9,0.61126,0.61126,1,1,0.000196342063,0.00953870705,0.000548015152
0,1,0,115.7,115.7,0.716942,0.716942,1,1,0.000196342063,0.00986550335,0.000466149128
0,1,0,128.6,128.6,0.811745,0.811745,1,1,0.000196342063,0.0108582772,0.000717516695
0,1,0,141.4,141.4,0.890916,0.890916,1,1,0.000196342063,0.0120341846,0.000806996845
0,1,0,154.3,154.3,0.950484,0.950484,1,1,0.000196342063,0.0124125144,0.000723163641
0,1,0,167.1,167.1,0.987464,0.987464,1,1,0.000196342063,0.0125432137,0.000492109009
0,1,0,180,180,1,1,1,1,0.000196342063,0.0124797781,0.000505374729
1,1,0,0,0,0,0,1,1,0.000117337184,0.00289650144,0.000300161364
1,1,0,12.86,12.86,0.012536,0.012536,1,1,0.000117337184,0.00310977608,0.000263196202
1,1,0,25.71,25.71,0.0495156,0.0495156,1,1,0.000117337184,0.00341598443,0.000353046876
1,1,0,38.57,38.57,0.109084,0.109084,1,1,0.000117337184,0.00425200182,0.000325097832
1,1,0,51.43,51.43,0.188255,0.188255,1,1,0.000117337184,0.00515341713,0.000363137437
1,1,0,64.29,64.29,0.283058,0.283058,1,1,0.000117337184,0.00609626512,0.000373435135
1,1,0,77.14,77.14,0.38874,0.38874,1,1,0.000117337184,0.00712677144,0.000402557312
1,1,0,90,90,0.5,0.5,1,1,0.000117337184,0.00826594195,0.000418243666
1,1,0,102.9,102.9,0.61126,0.61126,1,1,0.000117337184,0.00980608876,0.000454476544
1,1,0,115.7,115.7,0.716942,0.716942,1,1,0.000117337184,0.0106617618,0.000452011804
1,1,0,128.6,128.6,0.811745,0.811745,1,1,0.000117337184,0.011526603,0.000476694365
1,1,0,141.4,141.4,0.890916,0.890916,1,1,0.000117337184,0.0121780406,0.000577506206
1,1,0,154.3,154.3,0.950484,0.950484,1,1,0.000117337184,0.0116729681,0.000548387916
1,1,0,167.1,167.1,0.987464,0.987464,1,1,0.000117337184,0.0135585058,0.000448924724
1,1,0,180,180,1,1,1,1,0.000117337184,0.0125151309,0.000522792238
2,1,0,0,0,0,0,1,1,1.82594091e-05,0.00273392376,0.000370030722
2,1,0,12.86,12.86,0.012536,0.012536,1,1,1.82594091e-05,0.00292915208,0.000306224114
2,1,0,25.71,25.71,0.0495156,0.0495156,1,1,1.82594091e-05,0.00319833492,0.000330751183
2,1,0,38.57,38.57,0.109084,0.109084,1,1,1.82594091e-05,0.00409486053,0.000317042142
2,1,0,51.43,51.43,0.188255,0.188255,1,1,1.82594091e-05,0.00517973066,0.000371570563
2,1,0,64.29,64.29,0.283058,0.283058,1,1,1.82594091e-05,0.00577114177,0.000304129254
2,1,0,77.14,77.14,0.38874,0.38874,1,1,1.82594091e-05,0.00729349892,0.000449346324
2,1,0,90,90,0.5,0.5,1,1,1.82594091e-05,0.00829170864,0.000460083534
2,1,0,102.9,102.9,0.61126,0.61126,1,1,1.82594091e-05,0.00960127411,0.000508355247
2,1,0,115.7,115.7,0.716942,0.716942,1,1,1.82594091e-05,0.0104996021,0.000404159039
2,1,0,128.6,128.6,0.811745,0.811745,1,1,1.82594091e-05,0.0113613229,0.000570680359
2,1,0,141.4,141.4,0.890916,0.890916,1,1,1.82594091e-05,0.0121395996,0.00048657181
2,1,0,154.3,154.3,0.950484,0.950484,1,1,1.82594091e-05,0.0124864369,0.000462265139
2,1,0,167.1,167.1,0.987464,0.987464,1,1,1.82594091e-05,0.0132811839,0.000565138591
2,1,0,180,180,1,1,1,1,1.82594091e-05,0.0123233764,0.000503971432
3,1,0,0,0,0,0,1,1,9.29215904e-05,0.00266640288,0.000347607072
3,1,0,12.86,12.86,0.012536,0.012536,1,1,9.29215904e-05,0.00305161612,0.000382225015
3,1,0,25.71,25.71,0.0495156,0.0495156,1,1,9.29215904e-05,0.00347555979,0.000292267454
3,1,0,38.57,38.57,0.109084,0.109084,1,1,9.29215904e-05,0.00438607858,0.000369423525
3,1,0,51.43,51.43,0.188255,0.188255,1,1,9.29215904e-05,0.00528427709,0.000410686744
3,1,0,64.29,64.29,0.283058,0.283058,1,1,9.29215904e-05,0.00604653318,0.000388344388
3,1,0,77.14,77.14,0.38874,0.38874,1,1,9.29215904e-05,0.00722681436,0.000421548615
3,1,0,90,90,0.5,0.5,1,1,9.29215904e-05,0.00816860113,0.000393751343
3,1,0,102.9,102.9,0.61126,0.61126,1,1,9.29215904e-05,0.00987602233,0.000395907635
3,1,0,115.7,115.7,0.716942,0.716942,1,1,9.29215904e-05,0.0104038375,0.000507095627
3,1,0,128.6,128.6,0.811745,0.811745,1,1,9.29215904e-05,0.0107455921,0.000491012613
3,1,0,141.4,141.4,0.890916,0.890916,1,1,9.29215904e-05,0.0124015129,0.000508067518
3,1,0,154.3,154.3,0.950484,0.950484,1,1,9.29215904e-05,0.0129409411,0.000749097007
3,1,0,167.1,167.1,0.987464,0.987464,1,1,9.29215904e-05,0.0126915412,0.000672276557
3,1,0,180,180,1,1,1,1,9.29215904e-05,0.0118860501,0.000439445153
4,1,0,0,0,0,0,1,1,-6.3640594e-05,0.00274244831,0.000278696047
4,1,0,12.86,12.86,0.012536,0.012536,1,1,-6.3640594e-05,0.00296813984,0.000355876113
4,1,0,25.71,25.71,0.0495156,0.0495156,1,1,-6.3640594e-05,0.00324266259,0.000292887871
4,1,0,38.57,38.57,0.109084,0.109084,1,1,-6.3640594e-05,0.00396808594,0.000299349077
4,1,0,51.43,51.43,0.188255,0.188255,1,1,-6.3640594e-05,0.0049661021,0.000349240023
4,1,0,64.29,64.29,0.283058,0.283058,1,1,-6.3640594e-05,0.00608027756,0.000438420067
4,1,0,77.14,77.14,0.38874,0.38874,1,1,-6.3640594e-05,0.0073825725,0.000347468605
4,1,0,90,90,0.5,0.5,1,1,-6.3640594e-05,0.00835472604,0.000467572947
4,1,0,102.9,102.9,0.61126,0.61126,1,1,-6.3640594e-05,0.00912090708,0.000710103108
4,1,0,115.7,115.7,0.716942,0.716942,1,1,-6.3640594e-05,0.0109172414,0.000424559908
4,1,0,128.6,128.6,0.811745,0.811745,1,1,-6.3640594e-05,0.0112475119,0.000466797049
4,1,0,141.4,141.4,0.890916,0.890916,1,1,-6.3640594e-05,0.0125544082,0.000606191767
4,1,0,154.3,154.3,0.950484,0.950484,1,1,-6.3640594e-05,0.0127362228,0.000622891087
4,1,0,167.1,167.1,0.987464,0.987464,1,1,-6.3640594e-05,0.0125006552,0.000780721156
4,1,0,180,180,1,1,1,1,-6.3640594e-05,0.0123166532,0.000513138053
5,1,0,0,0,0,0,1,1,4.08735906e-05,0.00263539281,0.000281399897
5,1,0,12.86,12.86,0.012536,0.012536,1,1,4.08735906e-05,0.00316140591,0.000292863877
5,1,0,25.71,25.71,0.0495156,0.0495156,1,1,4.08735906e-05,0.00358821257,0.000376797636
5,1,0,38.57,38.57,0.109084,0.109084,1,1,4.08735906e-05,0.0041559478,0.000381389704
5,1,0,51.43,51.43,0.188255,0.188255,1,1,4.08735906e-05,0.00508129618,0.000379133965
5,1,0,64.29,64.29,0.283058,0.283058,1,1,4.08735906e-05,0.00629528938,0.00038172204
5,1,0,77.14,77.14,0.38874,0.38874,1,1,4.08735906e-05,0.00699803454,0.000464554959
5,1,0,90,90,0.5,0.5,1,1,4.08735906e-05,0.00875821115,0.0004909402
5,1,0,102.9,102.9,0.61126,0.61126,1,1,4.08735906e-05,0.00977070379,0.000468424273
5,1,0,115.7,115.7,0.716942,0.716942,1,1,4.08735906e-05,0.0108195467,0.000456253161
5,1,0,128.6,128.6,0.811745,0.811745,1,1,4.08735906e-05,0.0117767426,0.000544932953
5,1,0,141.4,141.4,0.890916,0.890916,1,1,4.08735906e-05,0.0118933844,0.00043106838
5,1,0,154.3,154.3,0.950484,0.950484,1,1,4.08735906e-05,0.0126089011,0.000429879177
5,1,0,167.1,167.1,0.987464,0.987464,1,1,4.08735906e-05,0.0128924314,0.000553288916
5,1,0,180,180,1,1,1,1,4.08735906e-05,0.0131764443,0.000776163379
6,1,0,0,0,0,0,1,1,0.000107718921,0.0027319615,0.000291829416
6,1,0,12.86,12.86,0.012536,0.012536,1,1,0.000107718921,0.00307291141,0.000359248446
6,1,0,25.71,25.71,0.0495156,0.0495156,1,1,0.000107718921,0.00331616675,0.000359783171
6,1,0,38.57,38.57,0.109084,0.109084,1,1,0.000107718921,0.0040471552,0.00032538699
6,1,0,51.43,51.43,0.188255,0.188255,1,1,0.000107718921,0.00523592839,0.000450915236
6,1,0,64.29,64.29,0.283058,0.283058,1,1,0.000107718921,0.00597132408,0.000361846152
6,1,0,77.14,77.14,0.38874,0.38874,1,1,0.000107718921,0.00726216715,0.000382966966
6,1,0,90,90,0.5,0.5,1,1,0.000107718921,0.0085317152,0.000469983173
6,1,0,102.9,102.9,0.61126,0.61126,1,1,0.000107718921,0.00959619154,0.000481700634
6,1,0,115.7,115.7,0.716942,0.716942,1,1,0.000107718921,0.0102475646,0.000404804125
6,1,0,128.6,128.6,0.811745,0.811745,1,1,0.000107718921,0.011283669,0.000576511924
6,1,0,141.4,141.4,0.890916,0.890916,1,1,0.000107718921,0.0117364038,0.000662381265
6,1,0,154.3,154.3,0.950484,0.950484,1,1,0.000107718921,0.0123150448,0.000616590651
6,1,0,167.1,167.1,0.987464,0.987464,1,1,0.000107718921,0.0121591257,0.000561043309
6,1,0,180,180,1,1,1,1,0.000107718921,0.0122103053,0.000595511004
7,1,0,0,0,0,0,1,1,4.61813271e-05,0.00279813133,0.00026012785
7,1,0,12.86,12.86,0.012536,0.012536,1,1,4.61813271e-05,0.00293687243,0.000381067117
7,1,0,25.71,25.71,0.0495156,0.0495156,1,1,4.61813271e-05,0.00351158809,0.000313537133
7,1,0,38.57,38.57,0.109084,0.109084,1,1,4.61813271e-05,0.00413159653,0.000314556865
7,1,0,51.43,51.43,0.188255,0.188255,1,1,4.61813271e-05,0.00532101309,0.000316820747
7,1,0,64.29,64.29,0.283058,0.283058,1,1,4.61813271e-05,0.00584889217,0.000487141564
7,1,0,77.14,77.14,0.38874,0.38874,1,1,4.61813271e-05,0.0074679146,0.000467207361
7,1,0,90,90,0.5,0.5,1,1,4.61813271e-05,0.00848372031,0.000361618183
7,1,0,102.9,102.9,0.61126,0.61126,1,1,4.61813271e-05,0.00945770763,0.00043070035
7,1,0,115.7,115.7,0.716942,0.716942,1,1,4.61813271e-05,0.0106552317,0.000605693365
7,1,0,128.6,128.6,0.811745,0.811745,1,1,4.61813271e-05,0.0114866501,0.000456620795
7,1,0,141.4,141.4,0.890916,0.890916,1,1,4.61813271e-05,0.0121851176,0.000592143793
7,1,0,154.3,154.3,0.950484,0.950484,1,1,4.61813271e-05,0.0125917555,0.000476377449
7,1,0,167.1,167.1,0.987464,0.987464,1,1,4.61813271e-05,0.0133165367,0.000544026803
7,1,0,180,180,1,1,1,1,4.61813271e-05,0.0135297796,0.000524819232
8,1,0,0,0,0,0,1,1,0.000123609967,0.00278355917,0.000305519457
8,1,0,12.86,12.86,0.012536,0.012536,1,1,0.000123609967,0.00297177484,0.000384241662
8,1,0,25.71,25.71,0.0495156,0.0495156,1,1,0.000123609967,0.0034079424,0.000323792417
8,1,0,38.57,38.57,0.109084,0.109084,1,1,0.000123609967,0.00398291545,0.000329496619
8,1,0,51.43,51.43,0.188255,0.188255,1,1,0.000123609967,0.00508364445,0.000384899483
8,1,0,64.29,64.29,0.283058,0.283058,1,1,0.000123609967,0.00579658677,0.000347181092
8,1,0,77.14,77.14,0.38874,0.38874,1,1,0.000123609967,0.00701749626,0.000330981052
8,1,0,90,90,0.5,0.5,1,1,0.000123609967,0.00823937106,0.000371226085
8,1,0,102.9,102.9,0.61126,0.61126,1,1,0.000123609967,0.00962691212,0.000400778219
8,1,0,115.7,115.7,0.716942,0.716942,1,1,0.000123609967,0.0106038913,0.000359712329
8,1,0,128.6,128.6,0.811745,0.811745,1,1,0.000123609967,0.0114545784,0.000508341404
8,1,0,141.4,141.4,0.890916,0.890916,1,1,0.000123609967,0.011827118,0.000465149295
8,1,0,154.3,154.3,0.950484,0.950484,1,1,0.000123609967,0.0129911878,0.000757373177
8,1,0,167.1,167.1,0.987464,0.987464,1,1,0.000123609967,0.0121141224,0.000539712986
8,1,0,180,180,1,1,1,1,0.000123609967,0.0124736018,0.000596733125
9,1,0,0,0,0,0,1,1,7.33633813e-05,0.00281501959,0.000270381008
9,1,0,12.86,12.86,0.012536,0.012536,1,1,7.33633813e-05,0.0030720107,0.000299327178
9,1,0,25.71,25.71,0.0495156,0.0495156,1,1,7.33633813e-05,0.00348176824,0.000330315935
9,1,0,38.57,38.57,0.109084,0.109084,1,1,7.33633813e-05,0.00426001169,0.000360534854
9,1,0,51.43,51.43,0.188255,0.188255,1,1,7.33633813e-05,0.00525107958,0.000406196019
9,1,0,64.29,64.29,0.283058,0.283058,1,1,7.33633813e-05,0.00612219264,0.00045645114
9,1,0,77.14,77.14,0.38874,0.38874,1,1,7.33633813e-05,0.00727963445,0.000323048182
9,1,0,90,90,0.5,0.5,1,1,7.33633813e-05,0.00831194241,0.000512232558
9,1,0,102.9,102.9,0.61126,0.61126,1,1,7.33633813e-05,0.00958982227,0.000706419665
9,1,0,115.7,115.7,0.716942,0.716942,1,1,7.33633813e-05,0.0107995381,0.000480842224
9,1,0,128.6,128.6,0.811745,0.811745,1,1,7.33633813e-05,0.0117442528,0.000590219366
9,1,0,141.4,141.4,0.890916,0.890916,1,1,7.33633813e-05,0.0121785875,0.000645778616
9,1,0,154.3,154.3,0.950484,0.950484,1,1,7.33633813e-05,0.012299765,0.000525609564
9,1,0,167.1,167.1,0.987464,0.987464,1,1,7.33633813e-05,0.0124476742,0.00061426233
9,1,0,180,180,1,1,1,1,7.33633813e-05,0.0122352356,0.00053878406
# dark_mean_v,7.52966839e-05
