trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v
0,3,0,90,90,0.5,0.5,1,1,0.000490776771,0.00635315985,0.000308698579
0,3,0,90,135,0.5,0.853553,1,1,0.000490776771,0.00670517579,0.000404003278
0,3,0,90,180,0.5,1,1,1,0.000490776771,0.00711544825,0.000366593051
0,3,0,135,90,0.853553,0.5,1,1,0.000490776771,0.00732473419,0.000388462233
0,3,0,135,135,0.853553,0.853553,1,1,0.000490776771,0.00849173019,0.000441080255
0,3,0,135,180,0.853553,1,1,1,0.000490776771,0.00847204327,0.000353925603
0,3,0,180,90,1,0.5,1,1,0.000490776771,0.00746768942,0.00048271941
0,3,0,180,135,1,0.853553,1,1,0.000490776771,0.00884625537,0.000460442882
0,3,0,180,180,1,1,1,1,0.000490776771,0.00889180547,0.000402758342
1,3,0,90,90,0.5,0.5,1,1,0.000210849878,0.00630780279,0.000424321786
1,3,0,90,135,0.5,0.853553,1,1,0.000210849878,0.00649704794,0.000449476315
1,3,0,90,180,0.5,1,1,1,0.000210849878,0.00689274822,0.00038335626
1,3,0,135,90,0.853553,0.5,1,1,0.000210849878,0.00752858371,0.000363204144
1,3,0,135,135,0.853553,0.853553,1,1,0.000210849878,0.00796024805,0.000476131698
1,3,0,135,180,0.853553,1,1,1,0.000210849878,0.00847236496,0.000396148133
1,3,0,180,90,1,0.5,1,1,0.000210849878,0.00770583019,0.000433660068
1,3,0,180,135,1,0.853553,1,1,0.000210849878,0.00860158443,0.000557380727
1,3,0,180,180,1,1,1,1,0.000210849878,0.00917655795,0.000370197901
2,3,0,90,90,0.5,0.5,1,1,0.000117658865,0.00598882355,0.000368344691
2,3,0,90,135,0.5,0.853553,1,1,0.000117658865,0.00679746619,0.000423635803
2,3,0,90,180,0.5,1,1,1,0.000117658865,0.00708083533,0.00038635719
2,3,0,135,90,0.853553,0.5,1,1,0.000117658865,0.00754791676,0.000377012632
2,3,0,135,135,0.853553,0.853553,1,1,0.000117658865,0.00827417699,0.000338078172
2,3,0,135,180,0.853553,1,1,1,0.000117658865,0.00854972937,0.0005201905
2,3,0,180,90,1,0.5,1,1,0.000117658865,0.00789806702,0.000396659115
2,3,0,180,135,1,0.853553,1,1,0.000117658865,0.00883029997,0.000448773614
2,3,0,180,180,1,1,1,1,0.000117658865,0.0090432853,0.000442464023
3,3,0,90,90,0.5,0.5,1,1,0.00020300086,0.00577349005,0.000366223684
3,3,0,90,135,0.5,0.853553,1,1,0.00020300086,0.00695766352,0.000415044906
3,3,0,90,180,0.5,1,1,1,0.00020300086,0.00719696234,0.000517921907
3,3,0,135,90,0.853553,0.5,1,1,0.00020300086,0.00701016193,0.000444251244
3,3,0,135,135,0.853553,0.853553,1,1,0.00020300086,0.00824934318,0.000400594037
3,3,0,135,180,0.853553,1,1,1,0.00020300086,0.00845103747,0.000355657872
3,3,0,180,90,1,0.5,1,1,0.00020300086,0.00768559642,0.000348142859
3,3,0,180,135,1,0.853553,1,1,0.00020300086,0.00869529024,0.000399667496
3,3,0,180,180,1,1,1,1,0.00020300086,0.00929255632,0.000412805966
4,3,0,90,90,0.5,0.5,1,1,0.000219599604,0.00607374742,0.000315553918
4,3,0,90,135,0.5,0.853553,1,1,0.000219599604,0.00665573337,0.000415245816
4,3,0,90,180,0.5,1,1,1,0.000219599604,0.00726184547,0.000430410715
4,3,0,135,90,0.853553,0.5,1,1,0.000219599604,0.00726380773,0.000417610873
4,3,0,135,135,0.853553,0.853553,1,1,0.000219599604,0.00842913097,0.000488716035
4,3,0,135,180,0.853553,1,1,1,0.000219599604,0.00861046283,0.000430003676
4,3,0,180,90,1,0.5,1,1,0.000219599604,0.00786885834,0.00036185029
4,3,0,180,135,1,0.853553,1,1,0.000219599604,0.00879887168,0.000423275561
4,3,0,180,180,1,1,1,1,0.000219599604,0.00933508262,0.000456846721
5,3,0,90,90,0.5,0.5,1,1,0.00017150828,0.00606879353,0.000433720823
5,3,0,90,135,0.5,0.853553,1,1,0.00017150828,0.00679241579,0.000399918821
5,3,0,90,180,0.5,1,1,1,0.00017150828,0.00704976091,0.000392699224
5,3,0,135,90,0.853553,0.5,1,1,0.00017150828,0.00755824274,0.000378822576
5,3,0,135,135,0.853553,0.853553,1,1,0.00017150828,0.00817751173,0.000573564992
5,3,0,135,180,0.853553,1,1,1,0.00017150828,0.00889141946,0.000452655497
5,3,0,180,90,1,0.5,1,1,0.00017150828,0.00797559225,0.000401855032
5,3,0,180,135,1,0.853553,1,1,0.00017150828,0.00884635189,0.00054652979
5,3,0,180,180,1,1,1,1,0.00017150828,0.00947523927,0.000441328915
6,3,0,90,90,0.5,0.5,1,1,0.00018534057,0.00630230204,0.000453405132
6,3,0,90,135,0.5,0.853553,1,1,0.00018534057,0.00681963003,0.000319906556
6,3,0,90,180,0.5,1,1,1,0.00018534057,0.00752269694,0.000365677942
6,3,0,135,90,0.853553,0.5,1,1,0.00018534057,0.00749361693,0.000353486894
6,3,0,135,135,0.853553,0.853553,1,1,0.00018534057,0.00829071142,0.000382203186
